"","ID","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition_num"
"670",670,"51 to 60","No","Travel_Rarely","Medium (451-800)","Research & Development","3-5 miles",3,"Life Sciences",1250,"very high","Male","Very High (81-110)","high",4,"Research Director","very high","Married","Very High (16001-19999)",23474,3,"No",14,"high","low",0,36,2,"high","low-Medium (6-10 Years)",9,0,9,0
"671",671,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","6-9 miles",4,"Medical",102,"low","Male","Low(0-40)","high",3,"Research Director","high","Single","High (13001-16000)",25258,4,"No",13,"high","low",0,16,3,"very high","Low(0-5 Years)",2,0,2,0
"672",672,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","<=2 miles",4,"Medical",1670,"very high","Male","Very High (81-110)","high",2,"Sales Executive","very high","Divorced","low-Medium (4001-7000)",3921,1,"No",14,"high","high",2,6,5,"high","low-Medium (6-10 Years)",2,0,4,0
"673",673,"18 to 28","No","Travel_Frequently","Medium (451-800)","Sales","6-9 miles",3,"Life Sciences",1507,"high","Male","Medium (41-60)","high",2,"Sales Executive","low","Single","low-Medium (4001-7000)",11827,0,"No",14,"high","very high",0,5,5,"high","Low(0-5 Years)",2,1,3,0
"674",674,"29 to 39","Yes","Travel_Frequently","Low(100-450)","Research & Development",">=16",4,"Life Sciences",881,"very high","Female","Very High (81-110)","high",1,"Research Scientist","medium","Divorced","Low(1000-4000)",16612,1,"Yes",19,"high","low",1,10,3,"medium","low-Medium (6-10 Years)",2,7,8,1
"675",675,"18 to 28","No","Travel_Rarely","Medium (451-800)","Research & Development","6-9 miles",3,"Medical",1647,"medium","Female","Very High (81-110)","very high",1,"Research Scientist","high","Married","Low(1000-4000)",22490,7,"No",17,"high","low",0,5,0,"high","Low(0-5 Years)",2,0,2,0
"676",676,"40 to 50","No","Travel_Rarely","Low(100-450)","Sales","3-5 miles",2,"Marketing",1280,"very high","Female","Low(0-40)","medium",5,"Manager","medium","Married","Very High (16001-19999)",9946,2,"No",14,"high","high",1,26,2,"high","Medium (11-15 Years)",4,0,8,0
"677",677,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","<=2 miles",3,"Other",823,"high","Female","Low(0-40)","high",2,"Manufacturing Director","medium","Married","low-Medium (4001-7000)",23361,0,"No",15,"high","low",1,10,2,"high","low-Medium (6-10 Years)",7,0,5,0
"678",678,"40 to 50","No","Travel_Frequently","Medium (451-800)","Research & Development","10-15 miles",3,"Technical Degree",1985,"very high","Female","High (61-80)","high",2,"Laboratory Technician","high","Married","low-Medium (4001-7000)",26849,1,"No",11,"high","low",1,10,2,"very high","low-Medium (6-10 Years)",9,9,4,0
"679",679,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development","3-5 miles",2,"Life Sciences",2025,"very high","Female","Very High (81-110)","high",2,"Manufacturing Director","medium","Divorced","low-Medium (4001-7000)",9192,7,"No",13,"high","medium",3,18,3,"high","Low(0-5 Years)",2,0,2,0
"680",680,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","6-9 miles",4,"Life Sciences",941,"medium","Male","Medium (41-60)","medium",1,"Sales Representative","high","Married","Low(1000-4000)",11737,3,"No",15,"high","medium",0,13,2,"very high","low-Medium (6-10 Years)",7,5,2,0
"681",681,"18 to 28","No","Travel_Rarely","Medium (451-800)","Sales","3-5 miles",1,"Marketing",885,"high","Male","Very High (81-110)","medium",2,"Sales Executive","low","Married","low-Medium (4001-7000)",18154,1,"No",12,"high","low",0,5,1,"very high","Low(0-5 Years)",2,0,3,0
"682",682,"40 to 50","No","Travel_Frequently","Low(100-450)","Research & Development",">=16",3,"Medical",525,"very high","Male","High (61-80)","high",1,"Laboratory Technician","very high","Married","Low(1000-4000)",15238,7,"No",20,"very high","low",1,8,1,"high","Low(0-5 Years)",2,1,2,0
"683",683,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",4,"Life Sciences",1682,"low","Male","High (61-80)","high",2,"Healthcare Representative","high","Married","low-Medium (4001-7000)",7419,6,"No",14,"high","medium",2,10,2,"medium","Low(0-5 Years)",2,0,2,0
"684",684,"51 to 60","No","Travel_Rarely","Low(100-450)","Research & Development",">=16",2,"Life Sciences",223,"high","Male","Very High (81-110)","very high",3,"Healthcare Representative","very high","Divorced","Medium (7001-10000)",23402,3,"Yes",16,"high","medium",1,12,2,"low","Low(0-5 Years)",3,1,4,0
"685",685,"18 to 28","No","Travel_Rarely","Low(100-450)","Research & Development",">=16",3,"Medical",221,"high","Male","Medium (41-60)","high",1,"Research Scientist","very high","Married","Low(1000-4000)",6672,1,"No",11,"high","high",1,5,2,"low","Low(0-5 Years)",2,0,2,0
"686",686,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","6-9 miles",1,"Life Sciences",581,"high","Male","Low(0-40)","high",3,"Manufacturing Director","medium","Divorced","Medium-High (10001-13000)",14394,1,"No",25,"very high","very high",1,13,6,"very high","Medium (11-15 Years)",8,0,8,0
"687",687,"29 to 39","Yes","Travel_Frequently","Low(100-450)","Research & Development","10-15 miles",1,"Other",1421,"high","Female","Very High (81-110)","high",3,"Healthcare Representative","very high","Single","Medium (7001-10000)",22930,0,"Yes",12,"high","low",0,9,1,"high","low-Medium (6-10 Years)",7,7,7,1
"688",688,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","3-5 miles",4,"Medical",305,"high","Female","Medium (41-60)","medium",1,"Research Scientist","medium","Married","Low(1000-4000)",13248,6,"No",21,"very high","very high",0,7,3,"high","Low(0-5 Years)",2,1,1,0
"689",689,"18 to 28","Yes","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",3,"Life Sciences",243,"medium","Male","Medium (41-60)","medium",1,"Laboratory Technician","very high","Single","Low(1000-4000)",9241,1,"No",22,"very high","high",0,1,3,"medium","Low(0-5 Years)",0,1,0,1
"690",690,"29 to 39","No","Non-Travel","Very High (1151-1500)","Human Resources","<=2 miles",3,"Human Resources",1805,"low","Male","Very High (81-110)","high",1,"Human Resources","medium","Divorced","Low(1000-4000)",7129,5,"No",13,"high","very high",3,13,3,"high","Medium (11-15 Years)",10,3,8,0
"691",691,"29 to 39","No","Travel_Frequently","High (801-1150)","Human Resources","10-15 miles",4,"Human Resources",1563,"high","Male","High (61-80)","high",2,"Human Resources","high","Married","low-Medium (4001-7000)",14814,3,"No",11,"high","high",0,10,2,"high","low-Medium (6-10 Years)",3,1,2,0
"692",692,"40 to 50","Yes","Non-Travel","Medium (451-800)","Research & Development",">=16",4,"Life Sciences",376,"low","Male","Very High (81-110)","high",3,"Manager","medium","Married","Medium-High (10001-13000)",10268,1,"Yes",12,"high","very high",1,10,2,"medium","low-Medium (6-10 Years)",7,9,9,1
"693",693,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",4,"Other",477,"low","Male","Very High (81-110)","medium",2,"Healthcare Representative","very high","Single","low-Medium (4001-7000)",17078,3,"No",23,"very high","medium",0,14,6,"high","Low(0-5 Years)",0,0,0,0
"694",694,"29 to 39","Yes","Travel_Frequently","Medium (451-800)","Research & Development","3-5 miles",3,"Technical Degree",514,"high","Male","Low(0-40)","high",1,"Research Scientist","very high","Single","Low(1000-4000)",3427,9,"Yes",23,"very high","high",0,3,4,"high","Low(0-5 Years)",0,0,0,1
"695",695,"29 to 39","No","Travel_Frequently","Very High (1151-1500)","Sales","<=2 miles",4,"Medical",1700,"high","Male","Low(0-40)","low",2,"Sales Executive","very high","Divorced","Medium (7001-10000)",7677,1,"No",14,"high","high",2,6,2,"medium","low-Medium (6-10 Years)",3,1,3,0
"696",696,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Sales","<=2 miles",4,"Life Sciences",925,"very high","Female","High (61-80)","medium",1,"Sales Representative","very high","Single","Low(1000-4000)",13137,1,"Yes",18,"high","low",0,3,3,"medium","Low(0-5 Years)",2,1,2,0
"697",697,"40 to 50","No","Travel_Frequently","Low(100-450)","Research & Development","3-5 miles",5,"Medical",1644,"high","Male","Very High (81-110)","medium",4,"Manager","very high","Married","High (13001-16000)",5602,2,"No",25,"very high","medium",1,23,3,"high","Low(0-5 Years)",2,2,2,0
"698",698,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","3-5 miles",2,"Life Sciences",304,"very high","Male","High (61-80)","high",2,"Laboratory Technician","medium","Single","low-Medium (4001-7000)",9945,8,"No",16,"high","very high",0,16,3,"very high","Medium (11-15 Years)",11,3,7,0
"699",699,"18 to 28","Yes","Travel_Frequently","Medium (451-800)","Sales","3-5 miles",2,"Medical",1624,"medium","Female","High (61-80)","high",1,"Sales Representative","very high","Single","Low(1000-4000)",18420,1,"Yes",12,"high","high",0,0,2,"very high","Low(0-5 Years)",0,0,0,1
"700",700,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development","10-15 miles",2,"Life Sciences",1217,"very high","Male","Medium (41-60)","high",5,"Research Director","medium","Married","Very High (16001-19999)",10849,5,"No",11,"high","low",1,25,2,"high","Low(0-5 Years)",2,0,3,0
"701",701,"29 to 39","No","Travel_Rarely","Low(100-450)","Human Resources","6-9 miles",1,"Medical",1865,"very high","Male","Very High (81-110)","medium",1,"Human Resources","medium","Married","Low(1000-4000)",15434,1,"No",11,"high","very high",0,1,3,"high","Low(0-5 Years)",0,0,0,0
"702",702,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales","6-9 miles",1,"Life Sciences",1163,"medium","Female","High (61-80)","high",2,"Sales Executive","high","Married","low-Medium (4001-7000)",5829,1,"No",20,"very high","low",0,6,3,"medium","low-Medium (6-10 Years)",5,1,3,0
"703",703,"29 to 39","No","Non-Travel","Very High (1151-1500)","Sales","6-9 miles",2,"Marketing",1243,"high","Female","High (61-80)","medium",3,"Sales Executive","very high","Married","Medium-High (10001-13000)",13755,4,"Yes",11,"high","medium",1,16,6,"medium","Medium (11-15 Years)",2,4,12,0
"704",704,"18 to 28","Yes","Travel_Rarely","High (801-1150)","Human Resources",">=16",2,"Medical",1818,"very high","Female","High (61-80)","high",1,"Human Resources","medium","Married","Low(1000-4000)",6889,0,"Yes",11,"high","high",0,6,3,"high","Low(0-5 Years)",1,1,4,1
"705",705,"51 to 60","No","Travel_Rarely","High (801-1150)","Human Resources","6-9 miles",2,"Medical",321,"medium","Male","Medium (41-60)","high",1,"Human Resources","high","Married","Low(1000-4000)",25657,8,"No",17,"high","very high",0,7,2,"medium","Low(0-5 Years)",2,2,2,0
"706",706,"40 to 50","No","Non-Travel","Low(100-450)","Sales","10-15 miles",2,"Life Sciences",599,"very high","Male","Medium (41-60)","high",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",13430,7,"No",14,"high","very high",0,16,3,"high","Medium (11-15 Years)",3,1,10,0
"707",707,"51 to 60","No","Travel_Rarely","Low(100-450)","Research & Development","6-9 miles",4,"Medical",1830,"very high","Female","High (61-80)","high",2,"Research Scientist","very high","Married","low-Medium (4001-7000)",15696,4,"No",15,"high","medium",1,14,2,"medium","low-Medium (6-10 Years)",1,1,7,0
"708",708,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Human Resources","6-9 miles",2,"Medical",1461,"very high","Female","Very High (81-110)","very high",1,"Human Resources","medium","Single","Low(1000-4000)",24609,9,"No",18,"high","very high",0,8,3,"high","Low(0-5 Years)",2,0,2,0
"709",709,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","6-9 miles",2,"Other",1782,"very high","Female","Low(0-40)","medium",1,"Laboratory Technician","high","Married","Low(1000-4000)",16376,1,"No",11,"high","medium",1,5,3,"high","Low(0-5 Years)",4,0,4,0
"710",710,"40 to 50","No","Non-Travel","High (801-1150)","Research & Development","<=2 miles",4,"Life Sciences",905,"low","Male","Very High (81-110)","high",4,"Manager","low","Divorced","Very High (16001-19999)",4544,1,"No",11,"high","very high",1,31,3,"high",">30 Years",6,14,7,0
"711",711,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development",">=16",4,"Medical",1321,"medium","Female","Very High (81-110)","high",3,"Manager","low","Married","Medium-High (10001-13000)",25927,1,"Yes",23,"very high","very high",2,9,2,"high","low-Medium (6-10 Years)",1,0,8,0
"712",712,"51 to 60","No","Travel_Rarely","Low(100-450)","Sales",">=16",3,"Marketing",568,"low","Male","Medium (41-60)","medium",4,"Manager","very high","Divorced","High (13001-16000)",22102,3,"No",12,"high","high",1,32,3,"medium","Low(0-5 Years)",0,0,0,0
"713",713,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",2,"Technical Degree",1258,"very high","Male","High (61-80)","very high",1,"Laboratory Technician","medium","Single","Low(1000-4000)",16620,5,"No",11,"high","high",0,7,4,"medium","Low(0-5 Years)",0,0,0,0
"714",714,"29 to 39","No","Travel_Frequently","Medium (451-800)","Sales","3-5 miles",4,"Medical",481,"low","Male","Medium (41-60)","medium",3,"Sales Executive","very high","Married","Medium (7001-10000)",7246,4,"No",11,"high","low",1,16,2,"high","Medium (11-15 Years)",9,1,12,0
"715",715,"29 to 39","No","Non-Travel","Very High (1151-1500)","Sales","6-9 miles",4,"Life Sciences",789,"low","Male","High (61-80)","medium",3,"Sales Executive","low","Single","Medium (7001-10000)",14229,1,"No",15,"high","medium",0,10,1,"high","low-Medium (6-10 Years)",7,0,9,0
"716",716,"18 to 28","Yes","Travel_Rarely","Low(100-450)","Human Resources",">=16",1,"Human Resources",1714,"very high","Male","Medium (41-60)","low",1,"Human Resources","high","Married","Low(1000-4000)",11585,1,"No",11,"high","high",1,1,2,"high","Low(0-5 Years)",0,0,0,1
"717",717,"29 to 39","No","Travel_Rarely","High (801-1150)","Sales","10-15 miles",3,"Marketing",1179,"high","Male","High (61-80)","medium",2,"Sales Executive","high","Married","low-Medium (4001-7000)",2706,1,"No",18,"high","low",1,10,3,"high","low-Medium (6-10 Years)",3,1,4,0
"718",718,"18 to 28","No","Travel_Rarely","High (801-1150)","Research & Development","10-15 miles",3,"Other",1097,"high","Female","Medium (41-60)","high",2,"Research Scientist","high","Single","Low(1000-4000)",7909,3,"No",13,"high","very high",0,10,4,"very high","low-Medium (6-10 Years)",7,1,7,0
"719",719,"29 to 39","Yes","Travel_Frequently","High (801-1150)","Sales","10-15 miles",4,"Other",1667,"very high","Male","Low(0-40)","high",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",10414,3,"Yes",24,"very high","low",0,13,2,"very high","Medium (11-15 Years)",9,6,7,1
"720",720,"18 to 28","No","Travel_Rarely","High (801-1150)","Research & Development","3-5 miles",3,"Medical",1121,"very high","Female","Very High (81-110)","high",3,"Manufacturing Director","medium","Divorced","Medium (7001-10000)",8039,0,"No",17,"high","medium",3,10,3,"medium","low-Medium (6-10 Years)",7,1,7,0
"721",721,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","3-5 miles",3,"Other",689,"high","Male","Low(0-40)","high",3,"Manufacturing Director","high","Married","Medium (7001-10000)",9606,1,"No",15,"high","high",1,10,2,"high","low-Medium (6-10 Years)",7,7,8,0
"722",722,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development",">=16",3,"Life Sciences",1631,"high","Male","Very High (81-110)","high",2,"Manufacturing Director","high","Married","low-Medium (4001-7000)",26493,3,"No",17,"high","low",3,9,2,"medium","Low(0-5 Years)",3,0,2,0
"723",723,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development","<=2 miles",4,"Other",1431,"very high","Male","Very High (81-110)","high",1,"Research Scientist","low","Divorced","Low(1000-4000)",20284,5,"No",14,"high","high",2,10,2,"high","Low(0-5 Years)",3,1,3,0
"724",724,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","10-15 miles",5,"Medical",1073,"very high","Female","Medium (41-60)","medium",3,"Manufacturing Director","very high","Single","Medium (7001-10000)",15669,0,"No",11,"high","medium",0,15,2,"medium","Medium (11-15 Years)",8,7,8,0
"725",725,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",3,"Life Sciences",1860,"very high","Male","Very High (81-110)","high",1,"Laboratory Technician","high","Single","Low(1000-4000)",13624,4,"No",13,"high","very high",0,8,3,"high","Low(0-5 Years)",0,0,0,0
"726",726,"18 to 28","No","Travel_Rarely","Medium (451-800)","Research & Development","<=2 miles",3,"Life Sciences",350,"low","Female","High (61-80)","high",2,"Manufacturing Director","high","Married","low-Medium (4001-7000)",7505,0,"No",12,"high","very high",2,5,3,"high","Low(0-5 Years)",2,1,2,0
"727",727,"29 to 39","No","Travel_Frequently","Very High (1151-1500)","Sales",">=16",2,"Medical",900,"high","Female","Medium (41-60)","high",1,"Sales Representative","very high","Married","Low(1000-4000)",21222,5,"No",15,"high","medium",1,10,3,"high","Low(0-5 Years)",4,0,0,0
"728",728,"29 to 39","No","Travel_Frequently","High (801-1150)","Research & Development","10-15 miles",4,"Medical",277,"very high","Male","Medium (41-60)","high",1,"Research Scientist","high","Divorced","Low(1000-4000)",5972,1,"Yes",17,"high","very high",1,5,4,"very high","Low(0-5 Years)",3,2,0,0
"729",729,"18 to 28","Yes","Travel_Rarely","Medium (451-800)","Research & Development",">=16",3,"Technical Degree",622,"high","Male","High (61-80)","low",1,"Laboratory Technician","very high","Single","Low(1000-4000)",23213,1,"Yes",18,"high","medium",0,1,3,"low","Low(0-5 Years)",0,0,0,1
"730",730,"18 to 28","No","Travel_Rarely","Medium (451-800)","Research & Development","<=2 miles",1,"Technical Degree",169,"high","Male","Very High (81-110)","high",1,"Laboratory Technician","very high","Married","Low(1000-4000)",19299,0,"No",14,"high","high",1,3,2,"high","Low(0-5 Years)",1,2,1,0
"731",731,"40 to 50","No","Travel_Rarely","Low(100-450)","Research & Development","6-9 miles",3,"Life Sciences",920,"low","Female","Medium (41-60)","high",2,"Manufacturing Director","medium","Divorced","low-Medium (4001-7000)",23814,4,"No",21,"very high","high",1,4,2,"very high","Low(0-5 Years)",0,0,0,0
"732",732,"29 to 39","Yes","Travel_Rarely","Very High (1151-1500)","Sales","3-5 miles",2,"Medical",445,"very high","Female","Medium (41-60)","high",2,"Sales Executive","high","Married","low-Medium (4001-7000)",17778,4,"Yes",18,"high","low",0,12,3,"medium","Low(0-5 Years)",0,0,0,1
"733",733,"18 to 28","Yes","Travel_Frequently","Very High (1151-1500)","Human Resources",">=16",3,"Human Resources",1944,"low","Female","Medium (41-60)","medium",1,"Human Resources","medium","Married","Low(1000-4000)",19555,1,"No",12,"high","low",0,1,2,"high","Low(0-5 Years)",0,0,0,1
"734",734,"29 to 39","Yes","Non-Travel","Very High (1151-1500)","Sales","10-15 miles",4,"Other",631,"very high","Male","Medium (41-60)","very high",2,"Sales Executive","high","Married","low-Medium (4001-7000)",23914,8,"No",12,"high","very high",0,6,2,"high","Low(0-5 Years)",2,1,2,1
"735",735,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","6-9 miles",4,"Medical",1577,"low","Male","Low(0-40)","high",1,"Research Scientist","very high","Single","Low(1000-4000)",22061,1,"No",13,"high","high",0,1,4,"low","Low(0-5 Years)",0,0,0,0
"736",736,"18 to 28","No","Travel_Rarely","Medium (451-800)","Sales","<=2 miles",2,"Medical",1898,"low","Female","Very High (81-110)","very high",2,"Sales Executive","high","Single","low-Medium (4001-7000)",26997,0,"No",14,"high","medium",0,9,5,"medium","low-Medium (6-10 Years)",7,0,7,0
"737",737,"29 to 39","No","Travel_Rarely","Medium (451-800)","Sales",">=16",1,"Marketing",2056,"medium","Female","Medium (41-60)","medium",4,"Sales Executive","very high","Married","Medium-High (10001-13000)",8828,0,"No",11,"high","low",1,21,2,"medium","Medium-High (16-20 Years)",9,9,6,0
"738",738,"51 to 60","No","Travel_Rarely","Low(100-450)","Sales","3-5 miles",3,"Life Sciences",1254,"high","Female","Medium (41-60)","medium",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",16490,5,"No",17,"high","very high",0,13,2,"high","low-Medium (6-10 Years)",1,0,5,0
"739",739,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales",">=16",3,"Medical",975,"high","Female","Very High (81-110)","high",2,"Sales Executive","high","Married","low-Medium (4001-7000)",6179,1,"No",16,"high","medium",0,5,3,"high","Low(0-5 Years)",2,1,0,0
"740",740,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development",">=16",2,"Other",652,"low","Male","Medium (41-60)","medium",2,"Laboratory Technician","very high","Single","Low(1000-4000)",14004,4,"No",14,"high","very high",0,9,3,"high","Low(0-5 Years)",2,0,2,0
"741",741,"18 to 28","No","Travel_Rarely","High (801-1150)","Sales",">=16",3,"Life Sciences",183,"low","Male","Medium (41-60)","medium",2,"Sales Executive","high","Married","Medium (7001-10000)",24835,2,"No",18,"high","very high",0,6,3,"high","Low(0-5 Years)",2,2,2,0
"742",742,"29 to 39","No","Travel_Rarely","Medium (451-800)","Sales","6-9 miles",3,"Life Sciences",613,"high","Male","Medium (41-60)","medium",3,"Manager","very high","Divorced","Medium-High (10001-13000)",25291,9,"No",21,"very high","high",1,10,3,"medium","Low(0-5 Years)",4,0,1,0
"743",743,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","10-15 miles",3,"Medical",1543,"low","Male","Medium (41-60)","high",2,"Research Scientist","very high","Married","low-Medium (4001-7000)",3031,1,"No",17,"high","low",0,10,2,"high","low-Medium (6-10 Years)",8,3,7,0
"744",744,"18 to 28","No","Travel_Rarely","Low(100-450)","Research & Development","3-5 miles",1,"Medical",1735,"high","Female","Medium (41-60)","high",1,"Laboratory Technician","medium","Single","Low(1000-4000)",12862,1,"No",13,"high","high",0,3,3,"low","Low(0-5 Years)",2,1,2,0
"745",745,"18 to 28","No","Travel_Rarely","Very High (1151-1500)","Sales","6-9 miles",2,"Other",2018,"low","Female","Very High (81-110)","high",2,"Sales Executive","high","Divorced","low-Medium (4001-7000)",13684,0,"Yes",22,"very high","medium",1,6,3,"medium","Low(0-5 Years)",3,0,4,0
"746",746,"18 to 28","No","Travel_Rarely","Low(100-450)","Research & Development",">=16",2,"Technical Degree",1551,"high","Male","Medium (41-60)","medium",1,"Laboratory Technician","low","Divorced","Low(1000-4000)",10036,0,"No",14,"high","medium",3,2,3,"high","Low(0-5 Years)",1,0,0,0
"747",747,"29 to 39","Yes","Travel_Rarely","Low(100-450)","Human Resources","10-15 miles",3,"Human Resources",1844,"low","Male","Medium (41-60)","medium",1,"Human Resources","low","Divorced","Low(1000-4000)",3157,4,"Yes",15,"high","very high",3,4,3,"high","Low(0-5 Years)",2,2,0,1
"748",748,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development","<=2 miles",3,"Medical",1184,"very high","Male","Very High (81-110)","medium",2,"Healthcare Representative","low","Single","low-Medium (4001-7000)",25755,0,"No",20,"very high","high",0,14,3,"high","Medium (11-15 Years)",9,4,9,0
"749",749,"18 to 28","No","Travel_Rarely","Medium (451-800)","Research & Development",">=16",1,"Medical",1725,"medium","Male","Very High (81-110)","high",1,"Laboratory Technician","low","Divorced","Low(1000-4000)",3622,1,"No",13,"high","medium",3,6,2,"very high","low-Medium (6-10 Years)",2,1,2,0
"750",750,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",3,"Life Sciences",242,"high","Male","Very High (81-110)","high",1,"Research Scientist","very high","Single","Low(1000-4000)",10515,0,"No",14,"high","low",0,4,2,"very high","Low(0-5 Years)",1,0,2,0
"751",751,"18 to 28","Yes","Travel_Frequently","Medium (451-800)","Sales","6-9 miles",3,"Marketing",1077,"very high","Female","Medium (41-60)","high",1,"Sales Representative","very high","Single","Low(1000-4000)",17205,1,"Yes",14,"high","medium",0,2,3,"high","Low(0-5 Years)",2,0,2,1
"752",752,"29 to 39","Yes","Travel_Frequently","High (801-1150)","Sales","<=2 miles",3,"Life Sciences",1331,"very high","Female","Medium (41-60)","high",1,"Sales Representative","medium","Single","Low(1000-4000)",8319,1,"Yes",11,"high","low",0,3,2,"very high","Low(0-5 Years)",2,2,2,1
"753",753,"40 to 50","No","Travel_Frequently","Very High (1151-1500)","Research & Development",">=16",5,"Medical",1606,"medium","Male","Medium (41-60)","high",4,"Healthcare Representative","high","Married","Medium-High (10001-13000)",20689,2,"Yes",15,"high","high",1,32,3,"high","Very High (26-30 Years)",8,12,13,0
"754",754,"40 to 50","Yes","Travel_Rarely","Very High (1151-1500)","Sales","10-15 miles",3,"Life Sciences",1869,"high","Female","High (61-80)","high",3,"Sales Executive","medium","Married","Medium (7001-10000)",14011,5,"No",21,"very high","high",3,14,2,"high","low-Medium (6-10 Years)",7,0,7,1
"755",755,"51 to 60","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",4,"Technical Degree",126,"low","Female","Medium (41-60)","high",3,"Research Director","high","Married","High (13001-16000)",24001,9,"No",12,"high","low",1,16,5,"low","Low(0-5 Years)",3,0,3,0
"756",756,"40 to 50","No","Non-Travel","Low(100-450)","Research & Development",">=16",3,"Medical",744,"low","Male","Medium (41-60)","low",1,"Laboratory Technician","high","Single","Low(1000-4000)",2104,2,"No",14,"high","high",0,9,5,"high","Low(0-5 Years)",2,1,4,0
"757",757,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development",">=16",1,"Life Sciences",942,"very high","Female","Medium (41-60)","high",2,"Healthcare Representative","very high","Married","low-Medium (4001-7000)",19170,1,"Yes",25,"very high","very high",1,10,2,"low","low-Medium (6-10 Years)",6,0,7,0
"758",758,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development","3-5 miles",4,"Technical Degree",1473,"low","Male","Very High (81-110)","high",2,"Healthcare Representative","high","Married","low-Medium (4001-7000)",21534,2,"No",14,"high","medium",1,20,0,"medium","Low(0-5 Years)",2,1,2,0
"759",759,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","3-5 miles",2,"Medical",1687,"very high","Female","Very High (81-110)","high",1,"Laboratory Technician","high","Married","Low(1000-4000)",26176,7,"No",19,"high","very high",1,7,5,"medium","Low(0-5 Years)",0,0,0,0
"760",760,"40 to 50","Yes","Travel_Rarely","Very High (1151-1500)","Sales","<=2 miles",3,"Marketing",1277,"low","Female","Very High (81-110)","low",5,"Manager","medium","Single","Very High (16001-19999)",2493,2,"Yes",16,"high","low",0,26,2,"high","High (21-25 Years)",10,1,11,1
"761",761,"29 to 39","Yes","Travel_Rarely","High (801-1150)","Research & Development","10-15 miles",3,"Life Sciences",994,"very high","Female","Very High (81-110)","medium",1,"Research Scientist","low","Single","Low(1000-4000)",11479,6,"Yes",20,"very high","high",0,3,5,"high","Low(0-5 Years)",0,0,0,1
"762",762,"40 to 50","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",2,"Other",820,"high","Female","Low(0-40)","high",4,"Manager","very high","Married","Very High (16001-19999)",12982,1,"Yes",11,"high","high",1,26,3,"medium","Very High (26-30 Years)",14,3,0,0
"763",763,"40 to 50","No","Non-Travel","Low(100-450)","Sales","10-15 miles",2,"Medical",1329,"high","Male","Low(0-40)","low",2,"Sales Executive","medium","Single","low-Medium (4001-7000)",22074,1,"No",13,"high","low",0,19,4,"high","Medium-High (16-20 Years)",2,11,9,0
